Nyckel;Miltal;MY;Kaross;Drift;Märke;Modell;Pris;Dragkrok;Batteristorlek
1;1300;2023;Halvkombi;2;Volkswagen;ID.3;349000;1;58
2;4050;2021;SUV;2;Volkswagen;ID.4;299000;1;58
3;6200;2021;SUV;2;Volkswagen;ID.4;329000;1;77
4;990;2023;Halvkombi;2;Volkswagen;ID.3;329000;0;58
5;1200;2023;Halvkombi;2;Volkswagen;ID.3;329000;0;58
6;2918;2023;Sedan;4;Tesla;Model S;899800;0;95
7;4968;2022;Halvkombi;2;Renault;Zoe;159900;0;52
8;6900;2022;SUV;4;Tesla;Model Y;369900;0;75
9;8307;2021;SUV;4;Tesla;Model Y;335000;0;75
10;8892;2020;Sedan;4;Porsche;Taycan;599800;0;84
11;0;2024;Halvkombi;4;Volvo;EX30;625300;0;64
12;0;2024;SUV;4;Volvo;C40;736200;0;79
13;0;2024;SUV;4;Volvo;XC40;686200;0;79
14;1185;2023;SUV;4;Mercedes-Benz;EQE;699000;0;91
15;600;2025;Yrkesfordon;2;Mercedes-Benz;eSprinter ;811250;0;81
16;143;2024;Sedan;4;Mercedes-Benz;EQE;829800;0;89
17;0;2023;Yrkesfordon;2;Peugeot;e-Partner;398800;0;50
18;5805;2021;Sedan;4;Tesla;Model 3;319800;0;76
19;981;2024;Halvkombi;4;Volvo;EX30;489000;0;64
20;1066;2024;SUV;2;Volvo;C40;409900;0;79
21;536;2025;SUV;2;Volvo;EX40;494900;0;79
22;1275;2024;Halvkombi;4;Volvo;EX30;434900;0;64
23;1043;2025;SUV;4;Volvo;EX40;579900;1;79
24;1777;2024;SUV;2;Volvo;XC40;469900;0;79
25;0;2023;Halvkombi;2;Fiat;500e;354900;0;42
26;3486;2023;Sedan;4;Polestar;2;419900;0;78
27;0;2024;Familjebuss;4;Kia;EV9;897900;0;100
28;3520;2023;Halvkombi;2;Renault;Mégane;299900;0;60
29;1330;2024;Familjebuss;2;Volkswagen;ID.Buzz;629500;0;77
30;6280;2022;SUV;2;Volvo;XC40;359900;0;67
31;6450;2020;SUV;4;Tesla;Model X;649900;1;98
32;6012;2023;SUV;2;Volkswagen;ID.4;359900;1;77
33;3781;2022;Halvkombi;2;Volkswagen;ID.3;324900;0;77
34;0;2024;Yrkesfordon;2;Mercedes-Benz;eVito;661250;0;60
35;1;2023;Yrkesfordon;2;Citroën;e-jumpy;499000;1;75
36;4750;2022;Sedan;4;Tesla;Model 3;399900;0;75
37;862;2024;SUV;4;Volvo;XC40;499900;0;79
38;3670;2020;Sedan;4;Porsche;Taycan;949900;0;84
39;4284;2022;SUV;2;Volvo;XC40;359900;1;67
40;6645;2021;Sedan;2;Tesla;Model 3;299900;0;55
41;8298;2022;SUV;4;Tesla;Model Y;389900;1;75
42;4989;2023;SUV;4;Tesla;Model X;999900;1;95
43;2540;2021;SUV;2;Mercedes-Benz;EQA;349900;0;70
44;5107;2022;SUV;4;Skoda;Enyaq;399900;1;80
45;2571;2021;Halvkombi;2;Kia;e-Soul;199900;0;39
46;0;2024;SUV;2;Fiat;600e;369900;0;54
47;8550;2022;Sedan;4;Audi;E-tron;599000;0;85
48;11500;2019;Sedan;4;Tesla;Model 3;235000;1;74
49;0;2025;Yrkesfordon;2;Nissan;Townstar;473625;0;45
50;6825;2014;Halvkombi;2;BMW;i3;124800;0;22
51;8207;2014;Halvkombi;2;BMW;i3;119800;0;22
52;7130;2019;Sedan;4;Tesla;Model S;379900;0;73
53;6057;2022;Halvkombi;2;Volkswagen;ID.3;274900;0;58
54;1000;2023;Halvkombi;2;Volkswagen;ID.3;349000;0;58
55;9257;2022;Halvkombi;4;Audi;E-tron;679000;0;85
56;1300;2024;Sedan;2;Volkswagen;ID.7;519000;0;77
57;2948;2023;Coupé;4;Volkswagen;ID.5;499900;1;77
58;5112;2020;SUV;2;Kia;e-Niro;289900;0;64
59;1348;2023;SUV;4;Kia;EV6;569900;0;77
60;8073;2022;SUV;2;Kia;EV6;359900;0;77
61;6011;2021;SUV;2;Kia;e-Niro;269900;0;64
62;1549;2023;SUV;4;Kia;EV6;529900;0;77
63;5066;2021;SUV;2;Kia;e-Niro;259899;0;64
64;2719;2022;SUV;2;Kia;e-Niro;309900;0;64
65;7383;2021;SUV;2;Kia;e-Niro;249900;0;64
66;3645;2021;SUV;2;Kia;e-Niro;279900;0;64
67;3717;2022;SUV;2;Kia;e-Niro;309900;0;64
68;4723;2022;SUV;2;Kia;e-Niro;309900;0;64
69;5768;2021;SUV;2;Kia;e-Niro;279900;0;64
70;5569;2022;SUV;2;Kia;e-Niro;289900;0;64
71;5077;2023;SUV;4;Skoda;Enyaq;509000;1;80
72;6627;2020;SUV;2;Kia;e-Niro;269900;0;64
73;4781;2022;SUV;2;Kia;e-Niro;309900;0;64
74;7383;2022;SUV;2;Kia;e-Niro;264900;0;64
75;8649;2020;SUV;2;Kia;e-Niro;249900;0;64
76;4225;2023;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;449500;1;77
77;5318;2023;SUV;4;Volvo;XC40;469000;0;79
78;4666;2022;SUV;4;Tesla;Model Y;419000;0;75
79;9100;2021;SUV;4;Ford;Mustang;349800;0;91
80;0;2023;Pickup;4;Ford;F150;1599000;1;131
81;1125;2024;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;589900;1;77
82;2457;2023;Halvkombi;2;Cupra;Born;318900;0;58
83;8841;2022;SUV;4;Tesla;Model Y;348900;0;75
84;7927;2020;SUV;2;Hyundai;Kona;193000;0;64
85;0;2024;Halvkombi;2;Smart;#3;365400;0;66
86;0;2024;Halvkombi;2;Smart;#3;365400;0;66
87;0;2024;Halvkombi;4;Smart;#1;424900;0;66
88;1;2024;Halvkombi;2;Smart;#1;494900;0;66
89;1;2024;Halvkombi;2;Smart;#1;494900;0;66
90;1;2024;Halvkombi;2;Smart;#1;494900;0;66
91;0;2024;Halvkombi;4;Smart;#1;424900;0;66
92;5414;2022;SUV;4;Tesla;Model Y;384800;0;75
93;4620;2022;Sedan;2;Tesla;Model 3;337400;0;60
94;13477;2021;Sedan;4;Tesla;Model S;450000;0;98
95;19799;2015;Familjebuss;2;Nissan;e-NV200;74000;0;24
96;9150;2020;Sedan;4;Tesla;Model 3;245000;0;74
97;5884;2021;SUV;4;Tesla;Model Y;369899;0;75
98;793;2023;Halvkombi;2;Volkswagen;ID.3;339900;0;58
99;11529;2021;SUV;4;Mercedes-Benz;EQC;379500;1;80
100;8775;2021;Sedan;4;Polestar;2;359900;0;78
101;4950;2021;SUV;2;Mercedes-Benz;EQA;359000;0;70
102;970;2024;SUV;4;Mercedes-Benz;EQE;819000;0;91
103;4643;2022;Halvkombi;2;Nissan;Leaf;229000;0;40
104;1672;2023;Halvkombi;2;Renault;Mégane;339000;0;60
105;1746;2024;SUV;4;Kia;EV6;499800;1;77
106;4900;2022;SUV;4;Audi;Q4;455000;1;77
107;3291;2018;Småbil;2;Volkswagen;e-UP;99900;0;19
108;8949;2020;Sedan;2;Tesla;Model 3;229000;0;55
109;1687;2023;SUV;2;Audi;Q4;395000;0;77
110;3902;2022;Sedan;2;Polestar;2;309000;0;64
111;4364;2021;Sedan;4;Polestar;2;389000;0;78
112;5855;2022;Sedan;2;Tesla;Model 3;299000;0;60
113;4327;2023;SUV;4;Volkswagen;ID.4;365000;0;77
114;1487;2024;Sedan;2;Tesla;Model 3;439000;0;60
115;3593;2022;Sedan;2;Polestar;2;309000;0;64
116;6177;2021;Sedan;4;Polestar;2;349000;0;78
117;3420;2022;SUV;4;Tesla;Model Y;395000;0;75
118;4061;2022;Sedan;2;Polestar;2;309000;0;64
119;8651;2020;Sedan;4;Tesla;Model 3;279000;0;74
120;7659;2022;Sedan;4;Tesla;Model 3;315000;0;75
121;550;2022;SUV;2;Audi;Q4;419700;1;77
122;530;2023;SUV;4;Mercedes-Benz;EQE;779900;0;96
123;1500;2023;Halvkombi;2;Volkswagen;ID.3;369900;0;58
124;2678;2023;Halvkombi;2;Renault;Mégane;339000;0;60
125;3436;2022;Halvkombi;2;Renault;Zoe;179000;0;52
126;4460;2023;Halvkombi;2;Renault;Mégane;334990;0;60
127;6100;2022;Halvkombi;2;Cupra;Born;260000;0;58
128;9756;2018;Halvkombi;2;Renault;Zoe;90000;0;41
129;20514;2013;Sedan;2;Tesla;Model S;238800;0;81
130;2533;2024;Sedan;4;Polestar;2;538700;0;78
131;14524;2021;Sedan;4;Tesla;Model 3;249800;0;75
132;1575;2021;Halvkombi;2;Nissan;Leaf;169900;0;40
133;4047;2021;Halvkombi;2;Mazda;MX-30;169000;0;30
134;4497;2022;SUV;4;Tesla;Model Y;398000;0;75
135;693;2024;SUV;2;Volvo;C40;439000;0;79
136;254;2022;Halvkombi;2;Ora;Funky Cat;169900;0;48
137;8998;2021;SUV;4;Tesla;Model Y;368900;0;75
138;13914;2018;SUV;4;Tesla;Model X;425000;0;95
139;10831;2021;SUV;2;Skoda;Enyaq;285000;0;82
140;9200;2020;SUV;2;Kia;e-Niro;239800;0;64
141;3380;2022;Sedan;4;Porsche;Taycan;1100000;0;84
142;2489;2016;Halvkombi;2;Volkswagen;E-golf;165000;0;24
143;10387;2022;SUV;2;Hyundai;Ioniq 5;308900;0;72
144;3960;2022;SUV;4;Audi;Q4;459800;1;77
145;4323;2021;Yrkesfordon;2;Maxus;e-Deliver 3;149800;0;53
146;2300;2023;Sedan;4;Tesla;Model 3;449900;0;75
147;3748;2022;Halvkombi;2;Nissan;Leaf;209900;0;40
148;10064;2022;SUV;4;Tesla;Model Y;339800;0;75
149;0;2024;SUV;4;XPENG;G9;849900;1;93
150;9100;2022;SUV;2;MG;Marvel R;244900;0;70
151;1800;2021;Familjebuss;2;Mercedes-Benz;EQV;525900;0;90
152;0;2024;Halvkombi;4;MG;MG4;399990;0;64
153;0;2024;Kombi;2;MG;MG5;299990;0;61
154;7600;2021;Sedan;4;Polestar;2;319000;1;78
155;1245;2023;Halvkombi;2;Cupra;Born;309900;0;58
156;11697;2019;Halvkombi;2;Nissan;Leaf;134800;0;40
157;500;2025;Familjebuss;4;Kia;EV9;799900;0;100
158;500;2025;Halvkombi;2;Kia;EV3;539900;0;81
159;500;2025;SUV;4;Kia;EV6;589900;0;84
160;300;2025;Halvkombi;2;Kia;EV3;559900;0;81
161;3660;2022;Halvkombi;2;Volkswagen;ID.3;289900;0;58
162;5913;2020;Halvkombi;2;Nissan;Leaf;155000;0;40
163;18100;2016;Sedan;4;Tesla;Model S;280000;0;67
164;3903;2023;Sedan;4;Porsche;Taycan;999000;0;84
165;5250;2022;SUV;2;Skoda;Enyaq;410000;1;82
166;7195;2023;SUV;2;Volvo;XC40;344900;0;67
167;1111;2024;Halvkombi;2;Volvo;EX30;389900;0;64
168;2221;2024;SUV;2;Volvo;C40;439900;0;79
169;2278;2024;SUV;2;Volvo;XC40;439900;0;79
170;2032;2024;SUV;2;Volvo;XC40;439900;0;79
171;7900;2019;Sedan;4;Tesla;Model 3;295000;0;76
172;5200;2023;SUV;2;Volvo;XC40;395000;1;67
173;8728;2021;SUV;4;Volvo;XC40;368900;1;79
174;5157;2021;Sedan;2;Tesla;Model 3;288900;0;55
175;325;2025;Familjebuss;4;Kia;EV9;789900;0;100
176;6045;2022;SUV;4;Kia;EV6;469900;0;77
177;150;2023;SUV;4;Subaru;Solterra;399500;0;73
178;9000;2019;SUV;4;Tesla;Model X;490000;0;98
179;6700;2021;Halvkombi;2;Volkswagen;ID.3;240000;0;58
180;3326;2021;SUV;4;Tesla;Model Y;384800;0;75
181;23088;2017;Sedan;4;Tesla;Model S;239000;0;86
182;8500;2015;Halvkombi;2;Volkswagen;E-golf;131000;0;24
183;2930;2021;SUV;2;Hyundai;Kona;399900;0;64
184;4474;2021;Sedan;4;Tesla;Model 3;309900;0;75
185;2975;2021;Halvkombi;2;Nissan;Leaf;169900;0;40
186;5590;2021;Halvkombi;2;Nissan;Leaf;189900;0;59
187;900;2021;SUV;2;Ford;Mustang;449900;0;91
188;900;2024;SUV;4;Audi;SQ8;1099000;0;106
189;3010;2022;Sedan;4;Tesla;Model 3;415000;0;75
190;7083;2021;Sedan;2;Tesla;Model 3;259000;0;55
191;0;2025;SUV;4;Kia;EV6;733300;0;84
192;4520;2021;SUV;4;Ford;Mustang;399900;0;75
193;1070;2023;Halvkombi;2;Nissan;Leaf;209900;0;40
194;3477;2022;SUV;2;Kia;EV6;389000;0;77
195;1150;2023;Halvkombi;2;MG;MG4;269900;0;51
196;332;2023;Halvkombi;2;MG;MG4;264900;0;51
197;15824;2013;Sedan;2;Tesla;Model S;295000;0;81
198;3334;2021;Sedan;4;Tesla;Model 3;328900;1;75
199;5003;2022;Halvkombi;2;Volkswagen;ID.3;238900;0;58
200;5071;2019;Halvkombi;2;Volkswagen;E-golf;164800;0;35
201;12111;2021;Halvkombi;2;BMW;i3;169800;0;42
202;4429;2021;Sedan;2;Tesla;Model 3;294800;0;55
203;2892;2023;Sedan;4;Polestar;2;439900;0;78
204;11827;2022;SUV;4;Hyundai;Ioniq 5;339800;1;72
205;2370;2024;SUV;4;BMW;iX1;499900;1;65
206;4607;2022;SUV;2;Hyundai;Kona;259000;0;64
207;1200;2024;SUV;4;BMW;iX2;579900;1;65
208;7894;2020;Sedan;2;Tesla;Model 3;279900;0;55
209;7312;2022;SUV;4;Tesla;Model Y;374800;0;75
210;9120;2022;SUV;4;Volkswagen;ID.4;364900;1;77
211;1294;2024;SUV;4;Volkswagen;ID.4;479900;0;77
212;1795;2023;SUV;2;Volkswagen;ID.4;368900;0;77
213;631;2022;Familjebuss;2;Maxus;Euniq 5;339900;0;70
214;550;2024;SUV;4;Kia;EV6;598300;0;77
215;1000;2023;Coupé;4;Audi;SQ8;1049000;0;106
216;31900;2015;Sedan;2;Tesla;Model S;154000;0;81
217;12675;2019;SUV;2;Kia;e-Niro;198800;0;64
218;1035;2025;SUV;4;Tesla;Model Y;539800;1;75
219;10115;2020;Sedan;2;Tesla;Model 3;239900;1;55
220;4224;2023;SUV;4;Tesla;Model Y;469900;0;75
221;4880;2022;SUV;4;Hyundai;Ioniq 5;409900;0;72
222;11035;2021;SUV;4;Tesla;Model X;479900;1;95
223;9278;2020;Sedan;2;Tesla;Model 3;259900;0;55
224;2351;2023;SUV;4;Mercedes-Benz;EQB;439900;0;67
225;6786;2023;SUV;2;Kia;e-Niro;284900;0;64
226;4490;2019;SUV;4;Jaguar;I-Pace;334900;0;90
227;5915;2021;SUV;2;BMW;iX3;399900;0;74
228;11290;2021;Sedan;4;Polestar;2;314900;0;78
229;2297;2024;Sedan;4;Polestar;2;549900;0;78
230;237;2024;Sedan;2;Polestar;2;469900;0;78
231;1347;2024;Sedan;2;Polestar;2;504900;0;78
232;90;2024;Sedan;2;Polestar;2;469900;0;78
233;6694;2022;SUV;2;Kia;EV6;379900;0;77
234;480;2024;SUV;2;BYD;Seal;454700;0;82
235;1;2021;Yrkesfordon;2;Maxus;e-Deliver 9;586250;0;72
236;3950;2020;Sedan;4;Porsche;Taycan;879000;0;84
237;1891;2023;Sedan;4;Porsche;Taycan;845000;0;84
238;5734;2019;Sedan;4;Tesla;Model S;499800;0;95
239;10820;2021;SUV;2;Volkswagen;ID.4;279800;1;77
240;10970;2021;Sedan;4;Tesla;Model 3;270000;1;75
241;17080;2014;Sedan;2;Tesla;Model S;219000;1;81
242;7687;2021;SUV;2;Volkswagen;ID.4;329800;1;77
243;10;2023;SUV;4;Volkswagen;ID.4;509500;0;77
244;2719;2023;Coupé;4;Volkswagen;ID.5;479500;1;77
245;3839;2023;Halvkombi;2;Volkswagen;ID.3;289500;0;58
246;7500;2021;Kombi;4;Audi;E-tron;439800;0;87
247;5860;2021;Halvkombi;2;BMW;i3;219800;0;42
248;1000;2023;Halvkombi;2;MG;MG4;301250;0;64
249;1730;2023;Halvkombi;2;Nissan;Leaf;259900;0;59
250;1000;2023;Halvkombi;4;MG;MG4;354990;0;64
251;3820;2022;SUV;4;Audi;E-tron;559000;1;87
252;8909;2022;SUV;2;Hyundai;Ioniq 5;319800;0;72
253;6005;2020;Sedan;2;Hyundai;Ioniq;199800;0;38
254;12778;2022;Sedan;4;Polestar;2;314900;1;78
255;370;2024;Sedan;2;Polestar;2;469900;0;78
256;7264;2022;Sedan;2;Polestar;2;329900;0;78
257;9455;2022;Sedan;2;Polestar;2;289900;0;64
258;10810;2022;Sedan;2;Polestar;2;269900;0;64
259;1650;2023;SUV;2;Volkswagen;ID.4;387000;1;77
260;20946;2014;Sedan;2;Tesla;Model S;230000;0;81
261;2934;2024;Sedan;4;Tesla;Model 3;509800;0;75
262;4254;2019;Halvkombi;2;Kia;Soul;159800;0;30
263;8377;2021;Sedan;4;Polestar;2;325000;1;78
264;4807;2022;Sedan;2;Polestar;2;299000;0;64
265;6814;2022;SUV;2;Volvo;XC40;325000;1;67
266;3052;2022;Sedan;2;Polestar;2;309000;0;64
267;4327;2022;Sedan;2;Polestar;2;299000;0;64
268;12682;2023;SUV;4;BMW;iX;469000;0;71
269;7531;2022;Sedan;2;Polestar;2;289000;0;64
270;3870;2022;Sedan;2;Tesla;Model 3;329000;0;60
271;3788;2022;SUV;4;Tesla;Model Y;385000;0;75
272;7133;2022;Sedan;4;Polestar;2;349000;1;78
273;6390;2021;SUV;4;Audi;E-tron;425000;0;87
274;11635;2021;SUV;2;Skoda;Enyaq;345000;1;80
275;4221;2022;Sedan;2;Polestar;2;309000;0;64
276;3996;2022;Sedan;2;Polestar;2;309000;0;64
277;914;2023;Halvkombi;2;Volkswagen;ID.3;359000;0;58
278;10770;2022;Sedan;2;Mercedes-Benz;EQE;449000;1;91
279;9240;2019;SUV;4;Jaguar;I-Pace;289800;0;90
280;13500;2014;Sedan;2;Tesla;Model S;290000;0;81
281;2297;2025;Sedan;2;Tesla;Model 3;518900;0;75
282;3295;2023;SUV;4;Tesla;Model Y;434800;1;75
283;4264;2021;SUV;4;Tesla;Model Y;384800;0;75
284;16997;2017;Sedan;2;Hyundai;Ioniq;97000;0;28
285;9919;2018;Halvkombi;2;Renault;Zoe;99000;0;41
286;11908;2017;Sedan;4;Tesla;Model S;295000;0;73
287;4515;2022;SUV;2;Peugeot;e-2008;205000;0;50
288;9565;2022;SUV;2;Audi;Q4;389000;1;77
289;3675;2023;SUV;2;Skoda;Enyaq;444900;0;80
290;5670;2022;Halvkombi;2;Volkswagen;ID.3;228900;0;58
291;7256;2021;SUV;2;Maxus;Euniq 6;249900;0;70
292;3320;2021;SUV;2;Kia;e-Niro;264000;0;64
293;1250;2024;SUV;2;Kia;Niro;389000;0;65
294;5617;2023;SUV;4;Tesla;Model Y;419800;1;75
295;14748;2016;Sedan;4;Tesla;Model S;269800;0;86
296;0;2025;SUV;4;Volvo;EX40;599000;0;79
297;0;2025;SUV;4;Volvo;EX40;609000;0;79
298;0;2025;SUV;4;Volvo;EX40;599000;0;79
299;0;2025;SUV;4;Volvo;EX40;599000;0;79
300;0;2025;SUV;2;Volvo;EX40;589000;0;79
301;8361;2021;Sedan;4;Tesla;Model 3;294700;0;75
302;2991;2022;SUV;4;Tesla;Model Y;459800;0;75
303;5818;2021;SUV;4;Tesla;Model Y;389900;1;75
304;1;2024;Pickup;4;Ford;F150;1498750;1;131
305;1623;2024;SUV;4;Volvo;XC40;489900;1;79
306;3687;2021;SUV;4;Tesla;Model Y;388900;1;75
307;3085;2024;Sedan;4;Tesla;Model 3;504900;1;75
308;7255;2020;Halvkombi;2;Renault;Zoe;139600;0;52
309;6634;2022;SUV;4;Tesla;Model Y;414800;0;75
310;0;2025;Halvkombi;2;Kia;EV3;469900;0;81
311;0;2025;Halvkombi;2;Kia;EV3;473331;0;81
312;20756;2020;SUV;4;Tesla;Model X;399000;1;95
313;6200;2019;SUV;4;Tesla;Model X;549800;1;98
314;3203;2024;SUV;2;Volvo;XC40;479900;1;79
315;1362;2024;Halvkombi;2;Volvo;EX30;359900;0;49
316;1355;2024;Halvkombi;2;Volvo;EX30;349900;0;49
317;1638;2024;Halvkombi;2;Volvo;EX30;349900;0;49
318;278;2025;SUV;2;Volvo;EX40;499900;1;79
319;350;2024;SUV;2;Volvo;C40;499900;0;79
320;30839;2021;Sedan;4;Tesla;Model S;289500;0;98
321;0;2026;Sedan;4;Volvo;ES90;1184100;0;102
322;0;2024;Halvkombi;2;MG;MG4;399990;0;64
323;8859;2023;Halvkombi;2;Volkswagen;ID.3;279900;0;58
324;2051;2024;SUV;4;Volvo;C40;469000;1;79
325;13770;2019;Sedan;4;Tesla;Model S;339000;0;95
326;10218;2020;SUV;4;Audi;E-tron;299000;1;65
327;2646;2023;Coupé;4;Volkswagen;ID.5;489900;1;77
328;8435;2021;SUV;4;Mercedes-Benz;EQC;399900;0;80
329;4767;2022;SUV;2;Volkswagen;ID.4;309900;0;77
330;7200;2023;Sedan;2;BMW;i4;509000;0;81
331;0;2025;SUV;4;Skoda;Enyaq;604900;1;82
332;8550;2023;SUV;4;Tesla;Model Y;390000;0;75
333;4900;2023;Sedan;4;BMW;i4;559000;1;81
334;5135;2016;Halvkombi;2;Renault;Zoe;99800;0;41
335;13232;2015;Halvkombi;2;BMW;i3;109800;0;22
336;516;2025;Coupé;2;Polestar;4;629000;0;94
337;190;2025;Sedan;2;Polestar;2;534900;0;78
338;0;2025;SUV;2;Volvo;EX40;579900;0;79
339;0;2025;SUV;2;Volvo;EX40;579900;0;79
340;0;2026;Sedan;2;Volvo;ES90;932000;0;88
341;0;2025;Halvkombi;2;Volvo;EX30;479900;0;64
342;3792;2019;Sedan;4;Tesla;Model 3;288900;0;74
343;5322;2022;Sedan;4;Tesla;Model 3;379800;0;75
344;6723;2021;SUV;4;Tesla;Model Y;364800;0;75
345;11399;2022;Halvkombi;2;Volkswagen;ID.3;259800;0;77
346;6559;2023;SUV;4;Tesla;Model Y;414800;1;75
347;10480;2022;SUV;4;Tesla;Model Y;349700;1;75
348;4840;2020;Halvkombi;2;Renault;Zoe;149000;0;52
349;12700;2022;SUV;4;Skoda;Enyaq;379800;0;80
350;0;2025;SUV;2;Volvo;EX40;579000;0;79
351;3843;2022;SUV;2;Volvo;XC40;359900;0;67
352;9700;2019;Sedan;4;Tesla;Model 3;249500;0;74
353;10717;2021;Sedan;4;Tesla;Model 3;284800;0;75
354;8609;2022;Yrkesfordon;2;Peugeot;E-expert;259800;1;75
355;2850;2023;Sedan;2;Mercedes-Benz;EQE;519000;0;91
356;13655;2019;Halvkombi;2;BMW;i3;180000;0;42
357;650;2025;SUV;4;Tesla;Model Y;634000;0;75
358;5400;2023;SUV;4;Volkswagen;ID.4;394900;1;77
359;15100;2021;SUV;2;Volkswagen;ID.4;244700;1;77
360;10110;2021;Halvkombi;2;Volkswagen;ID.3;209700;0;58
361;11220;2021;SUV;2;Volkswagen;ID.4;274900;1;77
362;9450;2021;SUV;2;Volkswagen;ID.4;289900;1;77
363;8000;2021;Sedan;4;Polestar;2;329900;0;78
364;10960;2019;Halvkombi;2;BMW;i3;169500;0;42
365;9316;2019;Halvkombi;2;Kia;Soul;139900;0;30
366;16245;2018;Sedan;4;Tesla;Model S;250000;0;95
367;2;2023;SUV;4;Ford;Mustang;599900;1;91
368;1075;2024;Kombi;2;BMW;iX3;598700;0;74
369;2670;2022;SUV;2;Kia;e-Niro;294900;0;64
370;3500;2021;Sedan;4;Porsche;Taycan;869800;0;84
371;0;2025;Kombi;2;Audi;A6;719000;0;76
372;2142;2023;SUV;2;Hyundai;Kona;269000;1;64
373;3092;2022;SUV;2;Volkswagen;ID.4;314900;0;77
374;4417;2022;SUV;2;Kia;EV6;399900;0;77
375;2980;2021;SUV;4;Audi;E-tron;579000;0;87
376;2410;2023;Sedan;2;Mercedes-Benz;EQE;599000;0;89
377;1580;2023;Sedan;2;Porsche;Taycan;829000;0;71
378;0;2024;Coupé;2;XPENG;G6;529900;0;66
379;499;2024;SUV;4;XPENG;G9;849000;1;93
380;7600;2023;SUV;2;Kia;Niro;319800;0;65
381;4138;2024;SUV;2;Volvo;XC40;474900;1;79
382;0;2025;SUV;2;Volvo;EX40;579900;0;79
383;0;2025;SUV;2;Volvo;EX40;579900;0;79
384;0;2025;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;662750;0;77
385;3173;2022;SUV;2;Peugeot;e-2008;199900;0;50
386;2850;2024;SUV;4;Skoda;Enyaq;579900;0;82
387;2097;2023;SUV;2;Tesla;Model Y;399000;1;60
388;3;2024;Cab;4;MG;Cyberster;859890;0;77
389;5055;2022;SUV;2;Kia;e-Niro;259200;0;64
390;4822;2022;SUV;2;Kia;e-Niro;284900;0;64
391;4732;2022;SUV;2;Kia;e-Niro;289900;0;64
392;5222;2022;SUV;2;Kia;e-Niro;299900;0;64
393;2660;2023;SUV;2;Kia;Niro;369200;0;65
394;3115;2023;SUV;2;Kia;EV6;459200;0;77
395;4004;2021;Halvkombi;2;Citroën;e-C4;199800;0;50
396;6785;2020;Halvkombi;2;Renault;Zoe;149800;0;52
397;5696;2021;SUV;2;BMW;iX3;428900;0;74
398;10890;2022;SUV;4;Tesla;Model Y;339800;1;75
399;4572;2021;SUV;2;Lexus;UX;268900;0;45
400;10480;2015;Halvkombi;2;BMW;i3;109800;0;22
401;3160;2021;SUV;4;MG;Marvel R;299900;0;70
402;1;2023;SUV;2;Ford;Mustang;499900;0;91
403;1;2024;SUV;2;Ford;Mustang;499900;0;91
404;5763;2022;Kombi;4;Audi;E-tron;489000;0;87
405;6604;2023;SUV;2;Kia;EV6;369500;1;77
406;5128;2021;SUV;2;Kia;e-Niro;289800;0;64
407;12000;2020;Sedan;4;Tesla;Model S;427999;0;95
408;419;2023;SUV;2;Mercedes-Benz;EQA;459000;0;70
409;4259;2023;Halvkombi;2;Cupra;Born;275000;0;58
410;4131;2023;Halvkombi;2;Cupra;Born;285000;0;58
411;5213;2022;SUV;4;BMW;iX;699500;1;105
412;2813;2022;Halvkombi;2;Mini;Cooper;219500;0;29
413;1;2025;Familjebuss;4;Kia;EV9;997800;0;100
414;1;2025;Familjebuss;4;Kia;EV9;977800;1;100
415;1;2025;Familjebuss;4;Kia;EV9;897800;0;100
416;1;2025;Familjebuss;2;Kia;EV9;689900;0;76
417;1;2025;Familjebuss;4;Kia;EV9;877800;0;100
418;1;2025;SUV;4;Kia;EV6;649900;0;84
419;1;2025;SUV;2;Kia;EV6;569900;0;84
420;1;2025;Halvkombi;2;Kia;EV3;566900;0;81
421;1;2025;Halvkombi;2;Kia;EV3;517900;0;81
422;4206;2023;SUV;2;Volvo;C40;359900;1;79
423;3937;2022;Halvkombi;2;Kia;e-Soul;269700;0;64
424;6500;2022;Halvkombi;4;Audi;Q4;499000;1;77
425;2990;2023;SUV;2;Tesla;Model Y;389500;1;60
426;729;2024;SUV;2;Renault;Scénic;479500;0;87
427;4460;2022;SUV;2;Kia;EV6;399000;0;77
428;1268;2024;SUV;2;BMW;iX3;584700;0;74
429;12105;2022;SUV;4;Tesla;Model Y;379900;1;75
430;1947;2024;SUV;2;Kia;Niro;429000;0;65
431;700;2024;SUV;2;Hyundai;Kona;479500;0;65
432;6274;2016;Halvkombi;2;Nissan;Leaf;119000;0;24
433;0;2025;SUV;4;BMW;iX;1099000;1;109
434;0;2025;SUV;4;BMW;iX;979500;1;109
435;0;2025;SUV;4;BMW;iX;949500;1;109
436;0;2025;SUV;4;BMW;iX;909500;1;109
437;4220;2023;Sedan;2;BMW;i4;469900;1;81
438;3849;2022;SUV;4;Mercedes-Benz;EQB;449899;0;67
439;2598;2024;SUV;4;Audi;SQ8;889800;1;106
440;10544;2020;Halvkombi;2;Nissan;Leaf;169900;0;59
441;600;2025;SUV;4;Ford;Capri;719600;0;77
442;11527;2021;Sedan;4;Polestar;2;308900;0;78
443;5890;2022;Halvkombi;2;Cupra;Born;299000;0;58
