Nyckel;Miltal;MY;Kaross;Drift;Märke;Modell;Pris;Dragkrok;Batteristorlek
3291;0;2025;SUV;4;Volkswagen;ID.4;600500;1;77
3292;10062;2014;Yrkesfordon;2;Renault;Kangoo;50000;1;22
3293;11309;2013;Halvkombi;2;Nissan;Leaf;55000;0;24
3294;3400;2023;SUV;4;Tesla;Model Y;439000;0;75
3295;650;2023;Sedan;2;Porsche;Taycan;869000;0;84
3296;8783;2020;SUV;4;Audi;E-tron;394500;0;87
3297;7150;2022;SUV;2;Hyundai;Ioniq 5;362800;0;72
3298;5962;2022;Sedan;2;Polestar;2;299900;0;64
3299;1215;2022;SUV;2;Lexus;UX;300000;0;45
3300;3000;2022;Sedan;4;Audi;E-tron;649000;0;85
3301;6985;2022;SUV;4;Tesla;Model Y;369800;1;75
3302;839;2023;Sedan;2;Tesla;Model 3;359800;0;60
3303;11696;2017;Sedan;4;Tesla;Model S;259000;1;73
3304;0;2025;Kombi;4;Volkswagen;ID.7;727500;0;86
3305;2784;2023;Halvkombi;2;Volkswagen;ID.3;319900;0;58
3306;4649;2022;SUV;2;Volvo;XC40;369000;0;67
3307;7700;2022;SUV;2;Volkswagen;ID.4;289900;0;77
3308;753;2025;SUV;4;BMW;iX2;579500;0;65
3309;1270;2025;Sedan;2;Porsche;Taycan;1149000;0;84
3310;500;2024;SUV;4;Kia;EV6;599000;0;77
3311;2230;2022;Sedan;4;Porsche;Taycan;749000;0;84
3312;4322;2022;Sedan;4;Tesla;Model 3;349500;0;75
3313;2200;2024;SUV;4;Kia;EV6;529000;0;77
3314;2960;2023;SUV;2;Kia;EV6;429000;0;77
3315;2548;2023;SUV;2;Kia;EV6;429000;0;77
3316;8710;2022;SUV;4;Kia;EV6;399000;1;77
3317;910;2024;SUV;4;Kia;EV6;529000;0;77
3318;2400;2023;SUV;4;Kia;EV6;549000;0;77
3319;800;2023;SUV;4;Kia;EV6;549000;0;77
3320;6498;2020;Halvkombi;2;Nissan;Leaf;139800;0;40
3321;13000;2017;Sedan;2;Tesla;Model S;269000;0;73
3322;5950;2022;SUV;2;Kia;e-Niro;279000;0;64
3323;5100;2022;SUV;2;Kia;e-Niro;279000;0;64
3324;5874;2021;SUV;2;Kia;e-Niro;259000;0;64
3325;4600;2022;SUV;2;Kia;e-Niro;299000;0;64
3326;2650;2022;SUV;2;Kia;e-Niro;279000;0;64
3327;6828;2021;SUV;2;Kia;e-Niro;259000;0;64
3328;4701;2022;SUV;2;Hyundai;Kona;284900;0;64
3329;7933;2021;Sedan;4;Polestar;2;377900;1;78
3330;11350;2022;Sedan;4;Tesla;Model 3;339900;0;75
3331;1428;2023;SUV;2;Kia;Niro;354900;0;65
3332;5460;2022;SUV;4;Tesla;Model Y;429000;0;75
3333;3433;2022;SUV;2;Kia;e-Niro;289900;1;64
3334;3625;2022;Sedan;4;Porsche;Taycan;999000;0;84
3335;1490;2025;Kombi;4;Volkswagen;ID.7;659000;1;86
3336;109;2023;SUV;2;MG;ZS;299000;0;70
3337;1950;2023;SUV;2;Mercedes-Benz;EQA;439000;0;70
3338;4314;2022;SUV;2;Volvo;XC40;369900;0;67
3339;1974;2022;SUV;2;Volkswagen;ID.4;359900;0;77
3340;6300;2019;Sedan;4;Tesla;Model 3;279500;1;74
3341;2454;2022;SUV;2;MG;ZS;238800;0;70
3342;4800;2022;SUV;2;Kia;e-Niro;289000;0;64
3343;2785;2023;SUV;2;Hyundai;Ioniq 5;439500;0;77
3344;5500;2023;SUV;4;Mercedes-Benz;EQB;389900;0;67
3345;3685;2022;SUV;4;Volvo;C40;399800;1;79
3346;5004;2022;SUV;2;Volvo;XC40;369900;0;67
3347;3075;2024;SUV;4;Volvo;C40;469900;1;79
3348;2207;2024;SUV;2;Volvo;XC40;499900;1;79
3349;2319;2023;Sedan;2;Mercedes-Benz;EQE;519000;0;89
3350;20;2023;SUV;2;Mercedes-Benz;EQA;489000;0;71
3351;4050;2022;SUV;4;Mercedes-Benz;EQB;439000;0;67
3352;1480;2024;Sedan;4;Mercedes-Benz;EQE;639000;0;89
3353;3000;2022;SUV;4;Mercedes-Benz;EQB;409000;0;67
3354;1546;2023;SUV;4;Mercedes-Benz;EQA;449000;0;66
3355;1;2024;SUV;4;Mercedes-Benz;EQA;509000;0;67
3356;1;2024;SUV;2;Mercedes-Benz;EQB;489000;0;71
3357;3326;2022;SUV;2;Volvo;XC40;369900;0;67
3358;4052;2022;SUV;2;Kia;e-Niro;278000;0;64
3359;700;2024;SUV;4;Volkswagen;ID.4;609900;0;77
3360;1500;2024;SUV;4;Volkswagen;ID.4;529900;1;77
3361;0;2025;Kombi;2;Volkswagen;ID.7;707300;1;86
3362;1100;2025;Kombi;2;Volkswagen;ID.7;629900;0;77
3363;500;2025;Halvkombi;2;Volkswagen;ID.3;419900;0;58
3364;500;2025;Halvkombi;2;Volkswagen;ID.3;569900;0;77
3365;0;2025;Familjebuss;4;Kia;EV9;807000;0;100
3366;0;2025;Familjebuss;4;Kia;EV9;877000;0;100
